GROCERY STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    27835     27720     27848     27867     27987     28011     28183     28222     28122     28328     28184     28233
1993    28220     28419     28307     28367     28386     28377     28554     28357     28478     28618     28625     28773
1994    28722     28923     28914     29111     29025     29311     29149     29410     29545     29343     29520     29443
1995    29791     29604     29619     29499     29763     29812     29675     29721     29735     29692     29858     29994
1996    30105     29990     30125     30220     30245     30288     30493     30555     30565     30766     30768     30879
1997    31030     30991     31109     31065     30987     30804     31022     31160     31171     31225     31125     31063
1998    30989     30915     31123     31169     31358     31435     31673     31744     31702     31864     31920     32291
1999    32225     32465     32419     32700     32776     32633     32891     32878     33121     32968     32972     34270
2000    32239     32567     33117     33541     33221     33644     33479     33554     33729     33867     34071     34558
2001    34229     34602     34477     34727     34781     34866     34792     35043     35152     35270     35414     35208
2002    35130     35114     35160     34827     34941     34933     35044     34874     34865     34990     35157     35257
2003    35669     35570     35549     35638     35225     35676     35957     35890     35918     35763     35679     35808
2004    36402     35890     36365     36312     36528     36508     36526     36680     36951     37078     37286     37423
2005    37628     37553     37645     38049     37908     38143     37960     38320     38577     38559     38508     38847
2006    38254     38889     38866     38891     39242     39372     39411     39705     39356     40002     39989     40153
2007    40253     40646     40572     40416     40740     40870     41044     40954     41095     41379     41868     41998
2008    42159     42016     42168     42584     42549     42683     42899     43063     42834     42768     42496     42136
2009    42771     42101     42069     42288     42300     42530     42480     42401     42691     42763     42808     43192
2010    43028     43735     43304     43186     43266     42963     43052     43258     43646     43493     44121     44184
2011    44684     44961     45068     45769     45321     45791     45797     46034     45887     46001     46138     46078
2012    46248     46353     46753     46879     46873     46889     46910     47059     47131     47449     47263     47142
2013    47236     47729     47624     47307     47799     47745     48101     48183     48291     48443     48493     48984
2014    49127     49211     49245     49591     49769     50097     50367     50505     50728     50941     50965     51142
2015    51234     51321     51273     51137     51191     51403     51573     51526     51419     51280     51595     51378
2016    51599     51578     51173     51832     51957     52275     51978     52212     52509     52817     52833     53210
2017    53315     53686     54116     54199     54316     54097     54139     54376     55013     55202     55241     55886
2018    55338     55558     55721     55862     55893     55700     56057     55934     56179     56463     56557     56632
2019    57527     56332     57440     57644     57581     57850     58601     58605     58130     57954     58122     58564
2020    57915     58008     74223     64070     64550     63114     63513     62327     62297     61924     62791     62659
2021    63335     63714     63837     64366     65018     65595     65656     67330     67712     68341     68398     68944
2022    69483     69619     70331     70735     71509     72387     72114     72445     73114     73885     74135     74015
2023    73323     73865     73731     73535     73414     73118     73632     73977     74204     74262     74465     74576
2024    75008                                                                                                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.981     0.946     0.978     0.990     1.032     1.001     1.046     1.015     0.977     1.009     0.980     1.073
1993     0.977     0.906     0.986     0.991     1.025     1.007     1.053     1.004     0.984     0.997     0.981     1.082
1994     0.971     0.905     1.012     0.980     1.013     1.014     1.041     1.013     0.985     0.991     0.985     1.092
1995     0.961     0.904     1.003     0.986     1.021     1.014     1.033     1.024     0.988     0.979     0.992     1.082
1996     0.969     0.940     1.004     0.971     1.037     1.006     1.029     1.039     0.965     0.997     1.008     1.051
1997     0.984     0.903     1.013     0.961     1.046     0.991     1.039     1.028     0.967     1.003     0.997     1.062
1998     0.990     0.904     0.980     0.989     1.035     0.993     1.044     1.015     0.978     1.011     0.983     1.074
1999     0.978     0.906     1.001     0.977     1.029     0.998     1.051     1.002     0.985     0.999     0.986     1.081
2000     0.972     0.937     1.003     0.984     1.026     1.007     1.031     1.020     0.988     0.980     0.997     1.078
2001     0.971     0.910     1.011     0.970     1.037     1.010     1.018     1.025     0.978     0.988     0.997     1.071
2002     0.983     0.912     1.020     0.953     1.044     1.000     1.024     1.033     0.964     0.997     1.014     1.042
2003     0.992     0.912     0.992     0.978     1.052     0.987     1.032     1.021     0.966     1.003     1.003     1.052
2004     1.002     0.939     0.987     0.988     1.033     0.996     1.045     0.998     0.984     0.998     0.989     1.071
2005     0.988     0.913     1.015     0.970     1.022     1.002     1.035     1.008     0.981     0.992     0.996     1.075
2006     0.980     0.913     0.999     0.984     1.028     1.005     1.024     1.016     0.985     0.983     1.000     1.069
2007     0.985     0.914     1.006     0.971     1.036     1.010     1.014     1.023     0.978     0.989     1.001     1.059
2008     0.993     0.950     1.010     0.962     1.047     0.991     1.027     1.022     0.966     1.001     1.006     1.045
2009     1.004     0.915     0.982     0.988     1.041     0.991     1.032     1.014     0.973     1.006     0.993     1.051
2010     0.999     0.916     1.003     0.978     1.031     0.998     1.035     1.004     0.977     1.001     0.991     1.056
2011     0.991     0.917     1.000     0.996     1.022     1.002     1.030     1.009     0.978     0.994     0.998     1.060
2012     0.983     0.953     1.014     0.976     1.033     1.007     1.012     1.021     0.977     0.990     1.001     1.047
2013     0.997     0.919     1.027     0.959     1.038     1.002     1.016     1.025     0.965     0.999     1.011     1.031
2014     1.003     0.919     0.998     0.985     1.043     0.990     1.023     1.019     0.966     1.005     1.004     1.039
2015     1.008     0.919     0.999     0.980     1.039     0.990     1.028     1.009     0.974     1.010     0.991     1.048
2016     1.004     0.945     1.021     0.975     1.021     1.001     1.027     1.005     0.979     0.997     0.999     1.061
2017     0.986     0.917     1.005     0.990     1.026     1.002     1.019     1.013     0.984     0.988     1.003     1.057
2018     0.991     0.916     1.028     0.958     1.034     1.007     1.011     1.019     0.978     0.993     1.004     1.049
2019     0.998     0.914     1.001     0.976     1.041     1.003     1.017     1.025     0.965     1.001     1.015     1.034
2020     1.004     0.951     0.982     0.987     1.041     0.993     1.031     1.013     0.973     1.011     0.996     1.049
2021     1.004     0.911     0.998     0.974     1.032     1.002     1.036     1.004     0.977     1.006     0.996     1.056
2022     0.995     0.911     0.993     0.989     1.023     1.002     1.030     1.008     0.977     1.000     1.005     1.062
2023     0.987     0.912     0.998     0.984     1.028     1.002     1.020     1.014     0.983     0.992     1.008     1.058
2024     0.993     0.947     1.019     0.954     1.040     1.001     1.016     1.024     0.966     1.004     1.018     1.036
2025     1.005     0.914     0.991     0.980     1.044     0.988     1.023     1.019     0.967     1.009     1.012     1.042
2026     1.010                                                                                                              
