HEALTH & PERSONAL CARE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     7421      7425      7443      7516      7458      7417      7292      7508      7420      7535      7497      7526
1993     7518      7651      7605      7683      7666      7680      7756      7678      7772      7758      7784      7989
1994     7865      7729      7911      7838      7955      8014      8084      8126      8190      8214      8190      8287
1995     8306      8304      8304      8450      8424      8482      8431      8488      8611      8584      8691      8761
1996     8546      8782      8991      8922      9076      9072      9134      9237      9190      9363      9414      9505
1997     9448      9649      9922      9578      9722      9916      9950      9989     10077     10058     10217     10201
1998    10382     10406     10393     10620     10645     10672     10828     11019     10985     11106     11232     11311
1999    11415     11498     11595     11619     11741     11837     11857     11848     11993     12155     12258     12801
2000    12381     12386     12580     12733     12814     12864     12967     13034     13233     13302     13340     13527
2001    13413     13582     13650     13643     13812     13843     13879     14004     13894     14298     14280     14350
2002    14525     14747     14745     14940     14903     14947     15004     15120     15288     15298     15348     15293
2003    15441     15534     15677     15705     15791     15934     16182     16345     16339     16434     16500     16648
2004    16287     16133     16526     16476     16462     16570     16554     16610     16635     16739     16813     16882
2005    17116     17292     17245     17350     17413     17392     17635     17548     17707     17742     17859     18005
2006    18000     18124     18222     18294     18466     18584     18640     18757     18933     19044     19276     19385
2007    19423     19401     19540     19572     19650     19880     19831     20014     20132     19988     19938     19825
2008    20120     20279     20288     20172     20536     20497     20640     20620     20654     20659     20789     20682
2009    20753     20906     20908     21059     21121     21055     21027     21070     21231     21278     21288     21195
2010    21187     21199     21343     21471     21399     21661     21733     21863     21888     22128     22180     22272
2011    22695     22428     22563     22448     22630     22607     22728     22822     22718     22830     22735     22656
2012    22973     22976     22945     23045     22883     22449     22793     22741     22608     22504     22661     22898
2013    23166     22988     23022     22920     23015     22993     23230     23246     23661     23680     23672     23739
2014    23719     23827     23971     24176     24506     24702     24716     24820     24930     24844     24929     25098
2015    25317     25089     25653     25201     25180     25364     25588     25789     26036     25892     26066     26264
2016    26139     26686     26501     26740     26660     26837     26807     26682     26676     25860     26089     26147
2017    26150     26426     26560     26749     26782     27008     27047     27339     27402     27578     27748     27633
2018    27674     27544     27711     28006     28416     28151     28348     28562     28344     28537     29076     27778
2019    28556     28761     28667     28559     28811     28656     28513     28516     28514     28863     28671     28411
2020    29232     29577     31089     26455     27033     29006     30586     30309     30716     30694     30187     30334
2021    30346     30033     32551     32505     31859     32857     32704     32956     32676     32566     32890     32801
2022    32747     32335     32738     32964     32898     33427     33587     33627     33965     33889     34094     33165
2023    34716     35131     35251     35542     35928     36020     36042     36567     36891     37389     37455     36868
2024    36467                                                                                                              


SEASONAL FACTORS


